	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX3798495	35487842	331776	13667843	20640687	0	0	0	0	4889	0	0	0	0	161430	678368	2849	0.9349004653481044	35487842.0	14847155.0	41.84	20640687.0	58.16	SRX3798495_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35487842.0	0.0	20-75	53.0	8.927566904585992	72.26688847408641	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	35985851	11852864	35985851	2698938825	13147085	2659920302	1.4456986812214982	0.3028	0.1832	0.514		
SRX3798496	30700762	71749	12610613	17813732	0	0	0	0	4571	0	0	0	0	194353	5207	537	0.23370429698129316	30700762.0	12887030.0	41.98	17813732.0	58.02	SRX3798496_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30700762.0	0.0	20-75	53.0	10.865113796154766	73.48874226639717	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	30836535	10293309	30836535	2312740125	10221345	2279380719	1.442419130424349	0.1505	0.4003	0.4493		
SRX3798497	26260802	3386643	2147361	19798841	0	0	0	0	15195	0	0	0	0	529775	364407	18580	12.89619029913862	26260802.0	6461961.0	24.61	19798841.0	75.39	SRX3798497_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26260802.0	0.0	20-75	53.0	12.494570996352888	73.50271640599553	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	26749855	7470443	26749855	2006239125	8164045	1971834520	1.7148805728728873	0.2382	0.4624	0.2993		
SRX3798498	23273010	154125	1541171	21451350	0	0	0	0	2933	0	0	0	0	111129	11391	911	0.6622478140988209	23273010.0	1821660.0	7.83	21451350.0	92.17	SRX3798498_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23273010.0	0.0	20-75	53.0	13.8731170725934	73.0985789977317	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	23795191	7660269	23795191	1784639325	40688071	1725799213	3.2970310121346227	0.1966	0.5119	0.2915		
SRX3798499	31921962	10268477	484761	11705335	0	0	0	0	9374	0	0	0	0	8701447	690624	61944	32.167436951400425	31921962.0	20216627.0	63.33	11705335.0	36.67	SRX3798499_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31921962.0	0.0	20-75	53.0	17.054645776942188	73.54588875207608	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	32185620	9702144	32185620	2413921500	4130931	2395079518	0.7805548771987821	0.1194	0.4034	0.4772		
SRX3798500	28828768	10813797	228262	5475301	0	0	0	0	8249	0	0	0	0	11483872	716360	102927	37.51043749077311	28828768.0	23353467.0	81.01	5475301.0	18.99	SRX3798500_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28828768.0	0.0	20-75	53.0	15.961700905871368	73.73652866470049	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	28860033	9579170	28860033	2164502475	6388787	2143749053	0.9588079588589984	0.1169	0.4109	0.4722		
SRX3798501	27107856	18524610	301949	986862	0	0	0	0	9033	0	0	0	0	6084762	1108267	92373	68.33668439141775	27107856.0	26120994.0	96.36	986862.0	3.64	SRX3798501_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27107856.0	0.0	20-75	52.0	20.255457596292935	73.54052198004888	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	27283529	8472590	27283529	2046264675	19369490	2014067741	1.573449143376333	0.1265	0.41600000000000004	0.4575		
SRX3798502	28646422	15227388	231977	4827414	0	0	0	0	8649	0	0	0	0	7350772	906495	93727	53.15633484698368	28646422.0	23819008.0	83.15	4827414.0	16.85	SRX3798502_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28646422.0	0.0	20-75	53.0	19.046727928502463	73.46911163984109	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	28970792	8734159	28970792	2172809400	32279950	2127513705	2.08466030200348	0.0901	0.4858	0.4242		
SRX3798503	27357428	3650947	381476	14087641	0	0	0	0	6520	0	0	0	0	8919193	291698	19953	13.345359073959733	27357428.0	13269787.0	48.51	14087641.0	51.49	SRX3798503_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27357428.0	0.0	20-75	54.0	14.854981351025062	73.69138743598266	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	27418787	7471784	27418787	2056409025	9398487	2035191473	1.0317768372952945	0.1349	0.4407	0.4244		
SRX3798504	29434258	5999696	497147	12616229	0	0	0	0	7641	0	0	0	0	9794357	483919	35269	20.383377763421112	29434258.0	16818029.0	57.14	12616229.0	42.86	SRX3798504_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29434258.0	0.0	20-75	54.0	18.019302213797378	73.62844023450499	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	29591546	8459623	29591546	2219365950	16596029	2189820361	1.3312626067819056	0.1428	0.4261	0.431		
SRX3798505	26232507	3905881	1850692	19569539	0	0	0	0	11211	0	0	0	0	495342	377525	22317	14.889469008814142	26232507.0	6662968.0	25.4	19569539.0	74.6	SRX3798505_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26232507.0	0.0	20-75	53.0	14.040774829419401	73.69599055096029	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	26419746	7089439	26419746	1981480950	3763806	1962908584	0.9372972271068264	0.2415	0.4664	0.2921		
SRX3798506	23168476	2776868	311364	11777882	0	0	0	0	7537	0	0	0	0	8062550	216367	15908	11.985544495891745	23168476.0	11390594.0	49.16	11777882.0	50.84	SRX3798506_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23168476.0	0.0	20-75	54.0	18.614612823914715	73.41542818785318	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	23776258	6428598	23776258	1783219350	51232989	1722217267	3.4208962010198016	0.1446	0.3975	0.4579		
SRX3798507	26037051	8420570	329845	6653868	0	0	0	0	8812	0	0	0	0	9962299	575288	86369	32.34072092112121	26037051.0	19383183.0	74.44	6653868.0	25.56	SRX3798507_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26037051.0	0.0	20-75	53.0	18.28791534023032	73.62450125400146	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	26125813	8494325	26125813	1959435975	10513914	1936032339	1.1944067731021424	0.1115	0.4199	0.4686		
SRX3798508	29202155	9806294	261599	8078398	0	0	0	0	6164	0	0	0	0	10309073	634621	106006	33.58072032697587	29202155.0	21123757.0	72.34	8078398.0	27.66	SRX3798508_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29202155.0	0.0	20-75	53.0	18.927553708628427	73.66042184215516	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	29237880	9211828	29237880	2192841000	7234258	2172106594	0.9455499053510948	0.1129	0.4185	0.4686		
SRX3798509	17634147	13210230	48341	648174	0	0	0	0	126589	0	0	0	0	2444450	876095	280268	74.91278143479241	17634147.0	16985973.0	96.32	648174.0	3.68	SRX3798509_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17634147.0	0.0	18-80	52.0	17.929637514897692	78.48061842741812	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	17661855	5972871	17661855	1405640045	5644157	1392240227	0.9532894319327676	0.0931	0.4635	0.4434		
SRX3798510	11159637	8414391	7110	369567	0	0	0	0	85707	0	0	0	0	1486912	638239	157711	75.40022135128591	11159637.0	10790070.0	96.69	369567.0	3.31	SRX3798510_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11159637.0	0.0	18-80	53.0	21.742133902041946	78.5084600870082	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	11186859	4475770	11186859	890498805	1384054	883356644	0.8020404923508011	0.0979	0.5439	0.3582		
SRX3798511	20655341	267684	11194455	8852742	0	0	0	0	8323	0	0	0	0	312630	16602	2905	1.2959553657332503	20655341.0	11802599.0	57.14	8852742.0	42.86	SRX3798511_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20655341.0	0.0	18-80	54.0	13.020124430413036	78.4355877736417	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	20737128	8211716	20737128	1648500602	13897622	1624663235	1.446002929636783	0.1962	0.4673	0.3365		
SRX3798512	20558060	122358	18401591	1965989	0	0	0	0	42417	0	0	0	0	18072	5551	2082	0.5951826193716723	20558060.0	18592071.0	90.44	1965989.0	9.56	SRX3798512_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20558060.0	0.0	18-80	53.0	7.1439916696567725	78.34780927772367	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	20614860	7823501	20614860	1639517038	9611901	1620539718	1.1574945279708644	0.2397	0.4437	0.3167		
SRX3798513	23452423	117531	13745078	9352269	0	0	0	0	24844	0	0	0	0	204623	6401	1677	0.5011465126652372	23452423.0	14100154.0	60.12	9352269.0	39.88	SRX3798513_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23452423.0	0.0	18-80	53.0	8.881665139311787	78.28621997820866	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	23526794	8846106	23526794	1870221219	12150738	1847346137	1.223121723120606	0.163	0.4316	0.4054		
SRX3798514	22917011	81529	21549643	1165395	0	0	0	0	106363	0	0	0	0	7577	4597	1907	0.3557575636718069	22917011.0	21751616.0	94.91	1165395.0	5.09	SRX3798514_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22917011.0	0.0	18-80	54.0	5.764452060975709	78.2818391106938	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	23002553	9498363	23002553	1833404770	3942984	1817786236	0.8518868422056085	0.2987	0.3606	0.3407		
SRX3798515	21103150	31480	20032692	969018	0	0	0	0	63893	0	0	0	0	3880	1619	568	0.1491720430362292	21103150.0	20134132.0	95.41	969018.0	4.59	SRX3798515_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21103150.0	0.0	18-80	53.0	3.8545709991615027	78.60662119162305	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	21157887	8775229	21157887	1686303543	3050447	1672418669	0.8233911419825558	0.2413	0.4	0.3587		
SRX3798516	17252607	18589	16387466	723286	0	0	0	0	44535	0	0	0	0	77173	1261	297	0.1077460351354436	17252607.0	16529321.0	95.81	723286.0	4.19	SRX3798516_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17252607.0	0.0	18-80	54.0	4.094762170480228	78.5959312699814	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	17289535	7077300	17289535	1377778820	2493376	1366655029	0.8073713166820201	0.1952	0.4623	0.3425		
SRX3798517	24192753	17934660	50589	995171	0	0	0	0	303641	0	0	0	0	3440001	1159455	309236	74.13236517563752	24192753.0	23197582.0	95.89	995171.0	4.11	SRX3798517_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24192753.0	0.0	18-80	53.0	18.262999020675377	78.47345128518445	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	24268466	8211806	24268466	1930179809	11187062	1908424791	1.1270979987750975	0.0906	0.4204	0.489		
SRX3798518	22397854	16438933	80475	762666	0	0	0	0	303684	0	0	0	0	3387393	1066406	358297	73.39512526512586	22397854.0	21635188.0	96.59	762666.0	3.41	SRX3798518_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22397854.0	0.0	18-80	52.0	15.101367068432618	78.51585665305255	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	22426535	9014567	22426535	1785745028	2816425	1771470987	0.7993325349468647	0.0843	0.47100000000000003	0.4447		
SRX4341761	12249866	3344170	153747	5108872	0	0	0	0	2553	0	0	0	0	3464060	163510	12954	27.299645563469838	12249866.0	7140994.0	58.29	5108872.0	41.71	SRX4341761_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12249866.0	0.0	20-101	53.0	12.625718930573747	99.1945342095987	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	12261024	4209648	12261024	1238363424	5291097	1225218011	1.0615149596020368	0.0748	0.3068	0.6184		
SRX4341762	11306054	3696771	314240	3881361	0	0	0	0	1464	0	0	0	0	3218936	182589	10693	32.69726997589079	11306054.0	7424693.0	65.67	3881361.0	34.33	SRX4341762_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11306054.0	0.0	20-101	53.0	17.169575468535946	99.29820324580088	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	11319907	3748317	11319907	1143310607	4654938	1130996791	1.077031554208261	0.0802	0.299	0.6208		
SRX4341763	10562789	3267232	187482	3847966	0	0	0	0	7452	0	0	0	0	3073991	166162	12504	30.931527648616285	10562789.0	6714823.0	63.57	3847966.0	36.43	SRX4341763_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10562789.0	0.0	20-101	53.0	13.584225296050269	98.96770540432077	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	10583890	3764370	10583890	1068972890	6121704	1055152879	1.292830821930386	0.0775	0.2877	0.6348		
SRX4341764	20956703	4472535	8145937	4001710	0	0	0	0	9583	0	0	0	0	4095099	215986	15853	21.34178739852352	20956703.0	16954993.0	80.9	4001710.0	19.1	SRX4341764_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20956703.0	0.0	20-101	53.0	7.90473287306629	99.05214565478168	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	20991555	7034261	20991555	2120147055	11158508	2094787621	1.196116747665883	0.0882	0.3451	0.5668		
SRX4341765	7689821	3064887	67278	1859038	0	0	0	0	1406	0	0	0	0	2544604	142716	9892	39.856415383400986	7689821.0	5830783.0	75.82	1859038.0	24.18	SRX4341765_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7689821.0	0.0	20-101	52.0	19.202410964615158	98.82298664689336	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	7709772	2872856	7709772	778686972	7191331	765425014	1.7031180020820995	0.092	0.3594	0.5485		
SRX4341766	18710801	7260198	781662	4217927	0	0	0	0	4444	0	0	0	0	6105596	316129	24845	38.80217634723388	18710801.0	14492874.0	77.46	4217927.0	22.54	SRX4341766_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18710801.0	0.0	20-101	52.0	13.282057015789722	98.5648647537858	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	18750433	7285455	18750433	1893793733	19631463	1857435053	1.9198859604632559	0.0892	0.3668	0.544		
SRX4341767	17218970	6821177	258309	3790473	0	0	0	0	3225	0	0	0	0	6008344	315529	21913	39.61431490966068	17218970.0	13428497.0	77.99	3790473.0	22.01	SRX4341767_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17218970.0	0.0	20-101	53.0	11.437022673432407	98.78680757327528	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass	17257606	6347345	17257606	1743018206	12613094	1717324854	1.4740724974389623	0.0934	0.3091	0.5975		
SRX4341768	9160244	1197509	5404386	1445296	0	0	0	0	7836	0	0	0	0	1049281	51655	4281	13.072894128147675	9160244.0	7714948.0	84.22	1445296.0	15.78	SRX4341768_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9160244.0	0.0	20-101	53.0	8.811022169852553	99.18591622668566	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	9177257	3279837	9177257	926902957	6879143	913762797	1.4176413939307348	0.0943	0.3068	0.5989		
SRX4341769	19061954	3013184	8178233	4742713	0	0	0	0	12654	0	0	0	0	2969897	133277	11996	15.807319648342451	19061954.0	14319241.0	75.12	4742713.0	24.88	SRX4341769_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19061954.0	0.0	20-101	53.0	8.039489332589737	98.98768961461138	pass	pass		pass	warn	fail	pass	warn	fail	fail	pass	19092940	6827505	19092940	1928386940	17000141	1898543661	1.5475773238746369	0.0927	0.3147	0.5926		
SRX8914620	40491314	34317491	275434	1249526	0	0	0	0	0	0	0	0	0	3238209	1360792	49862	84.75272252216858	40491314.0	39241788.0	96.91	1249526.0	3.09	SRX8914620_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40491314.0	0.0	20-150	53.0	17.17876504480465	144.56890529657792	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	40617370	16969029	40617370	6092605500	14961041	5870941789	3.63824165211419			0.3359	0.249	0.4151
SRX8914621	34346587	29117650	106712	1084782	0	0	0	0	0	0	0	0	0	2800982	1194496	41965	84.77596332934041	34346587.0	33261805.0	96.84	1084782.0	3.16	SRX8914621_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34346587.0	0.0	20-150	53.0	18.236057031453004	145.488469698605	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	34472096	13588201	34472096	5170814400	13968283	5012239871	3.0667225070000583			0.3177	0.3125	0.3697
SRX8914622	41340619	34834916	311226	1226800	0	0	0	0	0	0	0	0	0	3354877	1560540	52260	84.26316983787784	41340619.0	40113819.0	97.03	1226800.0	2.97	SRX8914622_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41340619.0	0.0	20-150	53.0	16.909183196512846	145.35025111743005	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	41453304	16630150	41453304	6217995600	15654092	6027070146	3.0705305420286884			0.3396	0.2379	0.4225
SRX8914623	27795335	19533683	48742	4080059	0	0	0	0	0	0	0	0	0	3133628	970871	28352	70.27683962074931	27795335.0	23715276.0	85.32	4080059.0	14.68	SRX8914623_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27795335.0	0.0	20-150	53.0	20.428898522643486	144.46162566488226	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	28412476	10529894	28412476	4261871400	118384961	4033284793	5.363526618846358			0.358	0.3073	0.3347
SRX8914624	40929155	35352628	266762	990155	0	0	0	0	0	0	0	0	0	2861439	1409852	48319	86.37517192817688	40929155.0	39939000.0	97.58	990155.0	2.42	SRX8914624_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40929155.0	0.0	20-150	53.0	17.28072733025574	145.47249042888862	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	41019828	16249034	41019828	6152974200	8401191	5971743372	2.945418298682286			0.3341	0.2281	0.4377
SRX8914625	28775160	20531719	176241	4071598	0	0	0	0	0	0	0	0	0	3000941	965459	29202	71.3522322725573	28775160.0	24703562.0	85.85	4071598.0	14.15	SRX8914625_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28775160.0	0.0	20-150	53.0	20.454649559416424	143.726338897855	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	29329316	11805089	29329316	4399397400	108065745	4153478242	5.589837326357468			0.3908	0.2933	0.3159
