Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX334203	13558800	1532320	6332093	3171399	0	0	0	0	0	0	0	0	0	2279524	236858	6606	11.301295099861346	13558800.0	10387401.0	76.61	3171399.0	23.39	SRX334203_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13558800.0	0.0	20-50	50.0	13.608982051952676	48.92110762014339	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13560268	7220393	13560268	678013400	6599971	663331790	2.1653864068173285	0.4006	0.5084	0.091
SRX334204	9694164	1360553	3862500	2414123	0	0	0	0	0	0	0	0	0	1879458	170878	6652	14.034763595911931	9694164.0	7280041.0	75.1	2414123.0	24.9	SRX334204_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9694164.0	0.0	20-50	50.0	16.70795563222446	48.95115659277065	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9695128	5335556	9695128	484756400	4272785	474553911	2.1046630843863023	0.3769	0.5166	0.1065
SRX334205	11650420	2794961	3904327	2713664	0	0	0	0	0	0	0	0	0	1966647	257126	13695	23.990216661716925	11650420.0	8936756.0	76.71	2713664.0	23.29	SRX334205_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11650420.0	0.0	20-50	48.0	20.367609084246734	49.04668904640347	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11651657	6206429	11651657	582582850	4145452	571431504	1.91412191416208	0.377	0.528	0.095
SRX334206	19723715	4434950	6592037	3677712	0	0	0	0	0	0	0	0	0	4497025	501702	20289	22.485368501826358	19723715.0	16046003.0	81.35	3677712.0	18.65	SRX334206_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19723715.0	0.0	20-50	50.0	16.073373225844062	49.11148472790243	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	19726707	10085153	19726707	986335350	6231524	968703219	1.7876405828910016	0.4189	0.4027	0.1784
SRX334207	27977264	1984414	3848429	19397128	0	0	0	0	0	0	0	0	0	2076987	659526	10780	7.09295233443842	27977264.0	8580136.0	30.67	19397128.0	69.33	SRX334207_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27977264.0	0.0	20-100	41.0	13.270073113847904	85.76596103178638	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	27991099	22781537	27991099	2799109900	358177894	2416975234	13.652006518214954	0.4575	0.4173	0.1252
SRX334208	18300868	2352164	9285437	4451166	0	0	0	0	0	0	0	0	0	1923997	276168	11936	12.852745563762332	18300868.0	13849702.0	75.68	4451166.0	24.32	SRX334208_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18300868.0	0.0	20-50	49.0	13.379168881115609	48.900620560729685	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	18303644	10964394	18303644	915182200	7514402	894961880	2.2094310837776345	0.4207	0.4838	0.0955
SRX334209	27408909	1521921	7383028	17633983	0	0	0	0	0	0	0	0	0	703604	161600	4773	5.552650782269371	27408909.0	9774926.0	35.66	17633983.0	64.34	SRX334209_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27408909.0	0.0	20-100	43.0	15.124695836477835	87.16468532184189	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	27415511	22168448	27415511	2741551100	312764977	2405825118	12.245840757810425	0.6293	0.2222	0.1485
SRX334210	27095970	3041442	16238236	3615538	0	0	0	0	0	0	0	0	0	3659831	513962	26961	11.224702418846785	27095970.0	23480432.0	86.66	3615538.0	13.34	SRX334210_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27095970.0	0.0	20-50	51.0	9.976743363615174	49.01342657229101	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	27098890	14233229	27098890	1354944500	10142836	1328107368	1.9806812751371	0.4186	0.4822	0.0992
SRX334211	19165661	1289834	10764551	3598610	0	0	0	0	0	0	0	0	0	3175622	329173	7871	6.729921811723582	19165661.0	15567051.0	81.22	3598610.0	18.78	SRX334211_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19165661.0	0.0	20-50	51.0	9.18522310108931	48.94992330293226	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19168307	9674702	19168307	958415350	9323686	938194432	2.1098282701753472	0.504	0.4236	0.0724
SRX334212	19821328	2534897	8914789	3371856	0	0	0	0	0	0	0	0	0	4570691	414287	14808	12.788734437975096	19821328.0	16449472.0	82.99	3371856.0	17.01	SRX334212_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19821328.0	0.0	20-50	51.0	12.194752228129008	49.08227370032925	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19824033	9694518	19824033	991201650	7265259	972913772	1.8450209399873376	0.3051	0.5933	0.1016
SRX334213	19849286	2652999	6411489	5419553	0	0	0	0	0	0	0	0	0	4814309	540896	10040	13.365715018666165	19849286.0	14429733.0	72.7	5419553.0	27.3	SRX334213_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19849286.0	0.0	20-50	49.0	13.68684862129242	48.71103464376502	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19859656	11014772	19859656	992982800	13606535	967043849	2.6122256095473158	0.3177	0.5974	0.0849
SRX334214	19287365	2903565	9575269	3509786	0	0	0	0	0	0	0	0	0	2907558	377434	13753	15.054233691331088	19287365.0	15777579.0	81.8	3509786.0	18.2	SRX334214_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19287365.0	0.0	20-50	50.0	14.571637128526234	48.90882067094183	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19291902	9734920	19291902	964595100	9890747	943390003	2.1983417705522244	0.3961	0.505	0.0989
SRX4665703	14466545	2031945	8414573	2068435	0	0	0	0	0	0	0	0	0	1636950	304741	9901	14.045820892272479	14466545.0	12398110.0	85.7	2068435.0	14.3	SRX4665703_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14466545.0	0.0	20-50	50.0	12.031058392804368	49.228319754302085	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	14467918	6513719	14467918	723395900	3454612	712182493	1.5501065184361702	0.5171	0.3858	0.0971
SRX4665704	9542686	1303788	6516173	1065233	0	0	0	0	0	0	0	0	0	505381	145427	6684	13.662694130352818	9542686.0	8477453.0	88.84	1065233.0	11.16	SRX4665704_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9542686.0	0.0	20-75	51.0	18.601263506249786	73.4847419269585	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	9543202	4038978	9543202	715740150	2810635	707450954	1.1581292456487176	0.7276	0.0973	0.1751
SRX4665705	14049974	1300660	9447506	2772925	0	0	0	0	0	0	0	0	0	427295	94640	6948	9.257383679144176	14049974.0	11277049.0	80.26	2772925.0	19.74	SRX4665705_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14049974.0	0.0	20-75	50.0	15.196469737312386	73.54727916222478	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14050623	6695739	14050623	1053796725	4216515	1041329174	1.1831077763123623	0.7702	0.08900000000000001	0.1408
SRX4665706	13143192	2036515	8946907	1095080	0	0	0	0	0	0	0	0	0	821332	231703	11655	15.4948280448159	13143192.0	12048112.0	91.67	1095080.0	8.33	SRX4665706_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13143192.0	0.0	20-75	51.0	17.560893355722452	73.53895461619977	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	13143718	5465745	13143718	985778850	2973772	975277441	1.065290556801863	0.7107	0.1117	0.1776
SRX4665707	9851315	1417015	3862500	2457649	0	0	0	0	0	0	0	0	0	1924926	179440	9785	14.384018783279188	9851315.0	7393666.0	75.05	2457649.0	24.95	SRX4665707_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9851315.0	0.0	20-50	50.0	16.835623863943056	48.95096319628395	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9852288	5431719	9852288	492614400	4321725	482244868	2.1049997726416443	0.36200000000000004	0.5066	0.1315
SRX4665708	13704545	1580804	6332093	3206380	0	0	0	0	0	0	0	0	0	2330138	245722	9408	11.534888608122342	13704545.0	10498165.0	76.6	3206380.0	23.4	SRX4665708_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13704545.0	0.0	20-50	50.0	13.751137814851436	48.92175281995864	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13706018	7306902	13706018	685300900	6645257	670470720	2.1640391833718593	0.3628	0.5298	0.1074
SRX4665709	14724485	3522748	7551147	1462578	0	0	0	0	0	0	0	0	0	1738755	440243	9014	23.92442248404613	14724485.0	13261907.0	90.07	1462578.0	9.93	SRX4665709_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14724485.0	0.0	20-50	50.0	14.968948502382338	49.28463277323451	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	14725808	6297671	14725808	736290400	3133623	725708117	1.437243104079586	0.6511	0.1572	0.1917
SRX4665710	11884447	2535022	6399496	1030248	0	0	0	0	0	0	0	0	0	1607514	298870	13297	21.33058441844202	11884447.0	10854199.0	91.33	1030248.0	8.67	SRX4665710_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11884447.0	0.0	20-50	50.0	14.036157287672724	49.2341670588459	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11885921	4900298	11885921	594296050	3166439	585142387	1.5402530439164115	0.5181	0.3756	0.1063
SRX4665711	14587835	1448306	10449515	2015769	0	0	0	0	0	0	0	0	0	528195	135958	10092	9.92817645661608	14587835.0	12572066.0	86.18	2015769.0	13.82	SRX4665711_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14587835.0	0.0	20-75	51.0	14.083070576105854	73.5226596681413	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14588458	6427306	14588458	1094134350	4212578	1081592846	1.1462489958385824	0.7953	0.0639	0.1408
SRX4665712	13436852	2063164	8871740	1430491	0	0	0	0	0	0	0	0	0	809115	247387	14955	15.354519049551193	13436852.0	12006361.0	89.35	1430491.0	10.65	SRX4665712_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13436852.0	0.0	20-75	51.0	17.289350500358324	73.50350186189443	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	13437319	5756413	13437319	1007798925	3581525	996437455	1.1273548441223036	0.7548	0.0891	0.1561
SRX4665713	11720721	1624865	7796735	1526263	0	0	0	0	0	0	0	0	0	585296	177534	10028	13.86318299019318	11720721.0	10194458.0	86.98	1526263.0	13.02	SRX4665713_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11720721.0	0.0	20-75	51.0	17.91907794031671	73.48184740512123	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	11721299	5157563	11721299	879097425	3530126	868714952	1.1810378127316208	0.746	0.0865	0.1675
SRX4665714	26517764	1465403	4897885	19342897	0	0	0	0	0	0	0	0	0	651535	149777	10267	5.526118265476684	26517764.0	7174867.0	27.06	19342897.0	72.94	SRX4665714_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26517764.0	0.0	20-100	40.0	16.850323012869367	85.91498627108982	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	26523242	22247102	26523242	2652324200	334621375	2294707568	13.483141766756873	0.6091	0.2512	0.1397
SRX4665715	14332624	2120413	9404578	1935512	0	0	0	0	0	0	0	0	0	673515	185443	13163	14.794311216145768	14332624.0	12397112.0	86.5	1935512.0	13.5	SRX4665715_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14332624.0	0.0	20-75	50.0	17.92777613235409	73.48334889689424	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14333158	6914767	14333158	1074986850	3958979	1061960757	1.211744404129223	0.8157	0.0775	0.1068
SRX4665716	15501575	2458249	10513012	1369044	0	0	0	0	0	0	0	0	0	882009	264776	14485	15.85805958426805	15501575.0	14132531.0	91.17	1369044.0	8.83	SRX4665716_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15501575.0	0.0	20-75	51.0	16.416385767066146	73.46990870282535	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15502120	7301387	15502120	1162659000	3734995	1148900087	1.1834005499462872	0.7776	0.0929	0.1295
SRX4665717	13405272	2080387	8625170	1787738	0	0	0	0	0	0	0	0	0	698240	202058	11679	15.519170368195438	13405272.0	11617534.0	86.66	1787738.0	13.34	SRX4665717_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13405272.0	0.0	20-75	50.0	17.872576281711126	73.47725954385706	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	13405916	6460924	13405916	1005443700	3754401	993191062	1.2186299441729058	0.8124	0.0809	0.1067
SRX4665718	27713372	1570284	7383029	17863343	0	0	0	0	0	0	0	0	0	719950	166675	10091	5.6661600039143565	27713372.0	9850029.0	35.54	17863343.0	64.46	SRX4665718_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27713372.0	0.0	20-100	43.0	15.351557959109275	87.11363662278269	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	27720009	22424436	27720009	2772000900	317645321	2431130984	12.296890524097593	0.7148	0.145	0.1403
SRX4665719	15890826	2985535	7723721	2605685	0	0	0	0	0	0	0	0	0	2213878	344233	17774	18.787789885812106	15890826.0	13285141.0	83.6	2605685.0	16.4	SRX4665719_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15890826.0	0.0	20-50	49.0	15.438569652283926	49.03441495111708	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	15893291	7757878	15893291	794664550	6400808	779233629	1.9418157007255448	0.3251	0.5681	0.1069
SRX4665720	16928172	2620145	7424435	3773169	0	0	0	0	0	0	0	0	0	2766438	328689	15296	15.478014991813644	16928172.0	13155003.0	77.71	3773169.0	22.29	SRX4665720_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16928172.0	0.0	20-50	49.0	15.753949127777169	48.84623608503033	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	16931746	8650300	16931746	846587300	9774489	826931049	2.3218220967878915	0.4294	0.4691	0.1015
SRX4665721	32245218	263569	5148679	26321520	0	0	0	0	0	0	0	0	0	439356	68312	3782	0.8173894187969205	32245218.0	5923698.0	18.37	26321520.0	81.63	SRX4665721_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32245218.0	0.0	20-100	41.0	8.604453355596444	82.47606383061203	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	32249813	28681116	32249813	3224981300	516788335	2678750988	16.937472226583143	0.5294	0.2048	0.2658
SRX4665722	18753348	5316098	7048536	3339558	0	0	0	0	0	0	0	0	0	2661938	366807	20411	28.3474609440405	18753348.0	15413790.0	82.19	3339558.0	17.81	SRX4665722_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18753348.0	0.0	20-50	49.0	20.535040346151764	49.090978848150215	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18756405	9013121	18756405	937820250	6834083	920664803	1.8292894613866568	0.723	0.11800000000000001	0.159
SRX4665723	14756760	4006515	4786313	3825641	0	0	0	0	0	0	0	0	0	1869008	254723	14560	27.150370406512	14756760.0	10931119.0	74.08	3825641.0	25.92	SRX4665723_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14756760.0	0.0	20-50	48.0	23.64412989215893	48.87418166318353	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14759081	7800047	14759081	737954050	7987633	721258120	2.262462005595064	0.7361	0.1139	0.15
SRX4665724	9618933	1175798	5035636	3018668	0	0	0	0	0	0	0	0	0	301770	83140	3921	12.223788230981546	9618933.0	6600265.0	68.62	3018668.0	31.38	SRX4665724_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9618933.0	0.0	20-75	51.0	19.296348613859184	73.25248299369586	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	9619608	3952016	9619608	721470600	5489417	710841257	1.4732884472354106	0.71	0.0967	0.1933
SRX4665725	11649400	1805224	5909661	1951170	0	0	0	0	0	0	0	0	0	1758932	214376	10037	15.496283070372725	11649400.0	9698230.0	83.25	1951170.0	16.75	SRX4665725_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11649400.0	0.0	20-50	50.0	14.899607415227795	49.048746630727756	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11651147	5484166	11651147	582557350	4718715	571414563	1.9127364885191132	0.3818	0.5292	0.08900000000000001
SRX4665726	14784689	1709697	8799350	1977537	0	0	0	0	0	0	0	0	0	1983346	298485	16274	11.563969996257613	14784689.0	12807152.0	86.62	1977537.0	13.38	SRX4665726_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14784689.0	0.0	20-50	50.0	11.452677688858488	49.14089481354664	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14786847	6664487	14786847	739342350	4881330	726564840	1.7282264434060894	0.4816	0.2679	0.2505
SRX4665727	14051679	3224893	7445275	2209787	0	0	0	0	0	0	0	0	0	910573	241687	19464	22.950232495348068	14051679.0	11841892.0	84.27	2209787.0	15.73	SRX4665727_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14051679.0	0.0	20-75	50.0	21.367989291789442	73.53577504866145	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14052372	6147874	14052372	1053927900	4334023	1041837678	1.1471583587454133	0.8496	0.0584	0.092
SRX4665728	14017207	3767551	6936265	1903212	0	0	0	0	0	0	0	0	0	1079390	308958	21831	26.8780435360625	14017207.0	12113995.0	86.42	1903212.0	13.58	SRX4665728_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14017207.0	0.0	20-75	50.0	22.476386798196998	73.54342544845059	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14017757	5897914	14017757	1051331775	4094832	1039658591	1.1103235227528436	0.8284	0.0701	0.1016
SRX4665729	11959782	3701729	5500408	1290410	0	0	0	0	0	0	0	0	0	1109935	334333	22967	30.95147553692869	11959782.0	10669372.0	89.21	1290410.0	10.79	SRX4665729_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11959782.0	0.0	20-75	51.0	24.1373555646386	73.54514973600689	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	11960456	4809493	11960456	897034200	3337779	887353988	1.0791352213772898	0.8038	0.0812	0.115
SRX4665730	20089362	4588517	6592037	3754745	0	0	0	0	0	0	0	0	0	4604625	519565	29873	22.840531222444998	20089362.0	16334617.0	81.31	3754745.0	18.69	SRX4665730_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20089362.0	0.0	20-50	50.0	16.211643576060098	49.11064064652725	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	20092392	10289754	20092392	1004619600	6331007	986644328	1.7892615274478019	0.4185	0.3902	0.1913
SRX4665731	20320258	2710909	8914789	3466364	0	0	0	0	0	0	0	0	0	4765164	441366	21666	13.340918210782561	20320258.0	16853894.0	82.94	3466364.0	17.06	SRX4665731_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20320258.0	0.0	20-50	51.0	12.329360002065807	49.0805381506475	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20323004	9981419	20323004	1016150200	7391002	997367751	1.8483929836356867	0.3101	0.5822	0.1078
SRX4665732	11828148	2859956	3904327	2761824	0	0	0	0	0	0	0	0	0	2019687	264431	17923	24.179237527295054	11828148.0	9066324.0	76.65	2761824.0	23.35	SRX4665732_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11828148.0	0.0	20-50	48.0	20.515083988392696	49.04484539760578	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11829394	6318455	11829394	591469700	4200665	580126809	1.9177467586251675	0.3627	0.5191	0.1182
SRX4665733	19496209	1426677	10764549	3670424	0	0	0	0	0	0	0	0	0	3274172	346573	13814	7.3177149465314	19496209.0	15825785.0	81.17	3670424.0	18.83	SRX4665733_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19496209.0	0.0	20-50	51.0	9.381665786350721	48.95081689983935	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	19498876	9868173	19498876	974943800	9414609	954392506	2.1079465298410023	0.4989	0.4032	0.0979
SRX666587	18753348	5316092	7048536	3339555	0	0	0	0	0	0	0	0	0	2661947	366807	20411	28.3474289497534	18753348.0	15413793.0	82.19	3339555.0	17.81	SRX666587_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18753348.0	0.0	20-50	49.0	20.535040346151764	49.090978848150215	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18756405	9013121	18756405	937820250	6834083	920664803	1.8292894613866568	0.723	0.11800000000000001	0.159
SRX666588	14756760	4006513	4786314	3825641	0	0	0	0	0	0	0	0	0	1869012	254720	14560	27.150356853401426	14756760.0	10931119.0	74.08	3825641.0	25.92	SRX666588_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14756760.0	0.0	20-50	48.0	23.64412989215893	48.87418166318353	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14759081	7800047	14759081	737954050	7987633	721258120	2.262462005595064	0.7361	0.1139	0.15
SRX666589	20982222	3745553	4817943	7249263	0	0	0	0	0	0	0	0	0	4745728	413046	10689	17.851078880015663	20982222.0	13732959.0	65.45	7249263.0	34.55	SRX666589_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20982222.0	0.0	20-50	49.0	20.288631793143185	48.656636747051856	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20990818	12832014	20990818	1049540900	14497564	1021060183	2.7136357430186853	0.5920000000000001	0.233	0.175
SRX666590	22189021	2680590	3494813	10672942	0	0	0	0	0	0	0	0	0	4940145	393434	7097	12.080704236568165	22189021.0	11516079.0	51.9	10672942.0	48.1	SRX666590_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22189021.0	0.0	20-50	46.0	19.901532011870838	47.94326559067208	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	22202324	14993887	22202324	1110116200	30080537	1064021865	4.1522081201949845	0.6965	0.2378	0.0657
SRX666591	32095350	1965606	9005472	19832904	0	0	0	0	0	0	0	0	0	1024099	252296	14973	6.124270338226565	32095350.0	12262446.0	38.21	19832904.0	61.79	SRX666591_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32095350.0	0.0	20-100	43.0	16.487008531708707	86.81860923778679	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	32103911	25339188	32103911	3210391100	378285264	2805738533	12.60446326928828	0.6269	0.2611	0.11199999999999999
SRX6747384	45967724	646305	6295520	38362367	0	0	0	0	0	0	0	0	0	640300	18663	4569	1.4059973906909118	45967724.0	7605357.0	16.54	38362367.0	83.46	SRX6747384_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45967724.0	0.0	18-51	53.0	10.207316066452906	41.03326046771426	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	47235537	33250986	47235537	2409012387	7856557	1904207913	20.95483098070097	0.6051	0.17300000000000001	0.2219
SRX6747385	53845180	525553	518	49638355	0	0	0	0	0	0	0	0	0	3674770	4102	1882	0.9760446524647146	53845180.0	4206825.0	7.81	49638355.0	92.19	SRX6747385_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53845180.0	0.0	18-51	60.0	11.043784207438224	40.6094924931071	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	55893819	40216428	55893819	2850584769	11676916	2215101533	22.29308326175232	0.1588	0.3934	0.4477
SRX6747386	75182066	791600	701	68937655	0	0	0	0	0	0	0	0	0	5443407	4523	4180	1.0529106768627507	75182066.0	6244411.0	8.31	68937655.0	91.69	SRX6747386_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75182066.0	0.0	18-51	60.0	9.734897981282003	41.0371117095931	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	78816010	55287215	78816010	4019616510	16029647	3135650946	21.99129100502177	0.1504	0.3713	0.4784
SRX6747387	86597846	1168597	1916	82481281	0	0	0	0	0	0	0	0	0	2937253	4253	4546	1.3494527335010158	86597846.0	4116565.0	4.75	82481281.0	95.25	SRX6747387_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86597846.0	0.0	18-51	63.0	7.805708273264375	40.160267311960624	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	91067658	66215594	91067658	4644450558	18339715	3540477245	23.76972903928155	0.1178	0.4171	0.4651
SRX6747388	292920911	8174800	30250154	252739875	0	0	0	0	0	0	0	0	0	1663285	70678	22119	2.7907874422799397	292920911.0	40181036.0	13.72	252739875.0	86.28	SRX6747388_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	292920911.0	0.0	18-51	60.0	7.63233705732074	40.27554565402809	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	310048579	225050464	310048579	15812477529	57125122	12034696543	23.891139001282806	0.1814	0.3243	0.4943
SRX6747389	45352662	508270	15114224	29097322	0	0	0	0	0	0	0	0	0	608884	21501	2461	1.1207059907530896	45352662.0	16255340.0	35.84	29097322.0	64.16	SRX6747389_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45352662.0	0.0	18-51	53.0	9.264223974880787	48.638952835888674	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	45456680	19352335	45456680	2318290680	6957757	2206950653	4.802677591750487	0.8357	0.0871	0.0772
